,COMBINED,COMBINED,COMBINED,COMBINED,COMBINED,COMBINED,COMBINED,COMBINED,COMBINED,COMBINED,COMBINED,COMBINED,Domain1,Domain1,Domain1,Domain1,Domain1,Domain1,Domain1,Domain1,Domain1,Domain1,Domain1,Domain1,Domain_1,Domain_1,Domain_1,Domain_1,Domain_1,Domain_1,Domain_1,Domain_1,Domain_1,Domain_1,Domain_1,Domain_1,Domain_2,Domain_2,Domain_2,Domain_2,Domain_2,Domain_2,Domain_2,Domain_2,Domain_2,Domain_2,Domain_2,Domain_2,Domain_3,Domain_3,Domain_3,Domain_3,Domain_3,Domain_3,Domain_3,Domain_3,Domain_3,Domain_3,Domain_3,Domain_3
hrh1_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",43.81,0,0,8,2,2,4,8,2,2,4,"[[4], [5], [8], [9, 20]]",0.0,0,0,5,2,0,0,5,2,0,0,"[39, 69]",22.58,0,0,1,0,2,1,1,0,2,1,"[80, 95]",43.75,0,0,1,0,0,1,1,0,0,1,"[100, 120]",47.62,0,0,1,0,0,2,1,0,0,2
agtr1_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",35.24,0,0,8,2,2,3,8,2,2,3,"[[4], [5], [8], [9, 20]]",0.0,0,0,5,2,0,0,5,2,0,0,"[39, 69]",12.9,0,0,1,0,2,3,1,0,2,3,"[80, 95]",31.25,0,0,1,0,0,0,1,0,0,0,"[100, 120]",28.57,0,0,1,0,0,0,1,0,0,0
ednrb_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",31.43,2,0,8,2,8,7,6,2,6,7,"[[4], [5], [8], [9, 20]]",20.0,2,0,5,2,2,1,3,2,0,1,"[39, 69]",7.89,0,0,1,0,4,3,1,0,4,3,"[80, 95]",17.65,0,0,1,0,1,1,1,0,1,1,"[100, 120]",47.62,0,0,1,0,1,2,1,0,1,2
ntr1_rat,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",34.29,1,0,8,2,2,3,7,2,1,3,"[[4], [5], [8], [9, 20]]",13.33,1,0,5,2,2,0,4,2,1,0,"[39, 69]",16.13,0,0,1,0,0,2,1,0,0,2,"[80, 95]",21.05,0,0,1,0,0,0,1,0,0,0,"[100, 120]",34.78,0,0,1,0,0,1,1,0,0,1
oprd_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",33.33,2,1,8,2,5,6,6,1,3,5,"[[4], [5], [8], [9, 20]]",33.33,2,1,5,2,3,1,3,1,1,0,"[39, 69]",10.53,0,0,1,0,2,4,1,0,2,4,"[80, 95]",25.0,0,0,1,0,0,1,1,0,0,1,"[100, 120]",33.33,0,0,1,0,0,0,1,0,0,0
oprd_mouse,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",33.33,1,0,8,2,3,5,7,2,2,5,"[[4], [5], [8], [9, 20]]",13.33,1,0,5,2,2,0,4,2,1,0,"[39, 69]",11.11,0,0,1,0,1,4,1,0,1,4,"[80, 95]",31.25,0,0,1,0,0,1,1,0,0,1,"[100, 120]",33.33,0,0,1,0,0,0,1,0,0,0
oprk_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",38.1,2,0,8,2,6,2,6,2,4,2,"[[4], [5], [8], [9, 20]]",26.67,2,0,5,2,3,0,3,2,1,0,"[39, 69]",6.45,0,0,1,0,3,2,1,0,3,2,"[80, 95]",25.0,0,0,1,0,0,0,1,0,0,0,"[100, 120]",38.1,0,0,1,0,0,0,1,0,0,0
oprm_mouse,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",35.24,0,0,8,2,3,5,8,2,3,5,"[[4], [5], [8], [9, 20]]",0.0,0,0,5,2,1,2,5,2,1,2,"[39, 69]",12.9,0,0,1,0,2,3,1,0,2,3,"[80, 95]",25.0,0,0,1,0,0,0,1,0,0,0,"[100, 120]",33.33,0,0,1,0,0,0,1,0,0,0
oprx_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",40.0,1,0,8,2,2,8,7,2,1,8,"[[4], [5], [8], [9, 20]]",6.67,1,0,5,2,1,2,4,2,0,2,"[39, 69]",22.58,0,0,1,0,1,6,1,0,1,6,"[80, 95]",25.0,0,0,1,0,0,0,1,0,0,0,"[100, 120]",38.1,0,0,1,0,0,0,1,0,0,0
ox1r_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",36.19,0,0,8,2,4,4,8,2,4,4,"[[4], [5], [8], [9, 20]]",6.67,0,0,5,2,3,3,5,2,3,3,"[39, 69]",6.45,0,0,1,0,1,1,1,0,1,1,"[80, 95]",31.25,0,0,1,0,0,0,1,0,0,0,"[100, 120]",38.1,0,0,1,0,0,0,1,0,0,0
ox2r_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",37.14,1,0,8,2,3,2,7,2,2,2,"[[4], [5], [8], [9, 20]]",6.67,1,0,5,2,2,0,4,2,1,0,"[39, 69]",9.68,0,0,1,0,1,2,1,0,1,2,"[80, 95]",25.0,0,0,1,0,0,0,1,0,0,0,"[100, 120]",42.86,0,0,1,0,0,0,1,0,0,0
par1_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",32.38,2,0,8,2,4,3,6,2,2,3,"[[4], [5], [8], [9, 20]]",0.0,0,0,5,2,0,1,5,2,0,1,"[39, 69]",6.45,0,0,1,0,2,2,1,0,2,2,"[80, 95]",18.75,1,0,1,0,1,0,0,0,0,0,"[100, 120]",33.33,1,0,1,0,1,0,0,0,0,0
ccr5_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",29.52,0,0,8,2,3,2,8,2,3,2,"[[4], [5], [8], [9, 20]]",0.0,0,0,5,2,0,0,5,2,0,0,"[39, 69]",18.18,0,0,1,0,3,2,1,0,3,2,"[80, 95]",6.25,0,0,1,0,0,0,1,0,0,0,"[100, 120]",19.05,0,0,1,0,0,0,1,0,0,0
cxcr4_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",28.57,0,0,8,2,2,5,8,2,2,5,"[[4], [5], [8], [9, 20]]",0.0,0,0,5,2,0,1,5,2,0,1,"[39, 69]",13.89,0,0,1,0,2,3,1,0,2,3,"[80, 95]",12.5,0,0,1,0,0,1,1,0,0,1,"[100, 120]",28.57,0,0,1,0,0,0,1,0,0,0
ffar1_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",27.62,2,0,8,2,5,4,6,2,3,4,"[[4], [5], [8], [9, 20]]",0.0,0,0,5,2,0,0,5,2,0,0,"[39, 69]",12.9,0,0,1,0,3,2,1,0,3,2,"[80, 95]",9.52,1,0,1,0,1,1,0,0,0,1,"[100, 120]",28.57,1,0,1,0,1,1,0,0,0,1
lpar1_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",38.1,3,0,8,2,4,3,5,2,1,3,"[[4], [5], [8], [9, 20]]",6.67,1,0,5,2,2,0,4,2,1,0,"[39, 69]",12.9,0,0,1,0,0,2,1,0,0,2,"[80, 95]",37.5,1,0,1,0,1,0,0,0,0,0,"[100, 120]",33.33,1,0,1,0,1,1,0,0,0,1
s1pr1_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",41.9,3,0,8,2,3,2,5,2,0,2,"[[4], [5], [8], [9, 20]]",13.33,1,0,5,2,1,0,4,2,0,0,"[39, 69]",19.35,0,0,1,0,0,0,1,0,0,0,"[80, 95]",37.5,1,0,1,0,1,0,0,0,0,0,"[100, 120]",38.1,1,0,1,0,1,2,0,0,0,2
cnr1_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",36.19,2,0,8,2,4,3,6,2,2,3,"[[4], [5], [8], [9, 20]]",0.0,0,0,5,2,1,0,5,2,1,0,"[39, 69]",12.9,0,0,1,0,1,1,1,0,1,1,"[80, 95]",17.65,1,0,1,0,1,0,0,0,0,0,"[100, 120]",47.62,1,0,1,0,1,2,0,0,0,2
aa2ar_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",34.29,0,0,8,2,1,3,8,2,1,3,"[[4], [5], [8], [9, 20]]",0.0,0,0,5,2,0,0,5,2,0,0,"[39, 69]",9.38,0,0,1,0,1,2,1,0,1,2,"[80, 95]",25.0,0,0,1,0,0,0,1,0,0,0,"[100, 120]",38.1,0,0,1,0,0,1,1,0,0,1
p2ry1_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",25.71,1,0,8,2,4,8,7,2,3,8,"[[4], [5], [8], [9, 20]]",6.67,1,0,5,2,2,3,4,2,1,3,"[39, 69]",12.9,0,0,1,0,1,3,1,0,1,3,"[80, 95]",0.0,0,0,1,0,1,1,1,0,1,1,"[100, 120]",19.05,0,0,1,0,0,1,1,0,0,1
p2y12_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",23.81,0,0,8,2,1,2,8,2,1,2,"[[4], [5], [8], [9, 20]]",0.0,0,0,5,2,0,0,5,2,0,0,"[39, 69]",12.5,0,0,1,0,1,2,1,0,1,2,"[80, 95]",0.0,0,0,1,0,0,0,1,0,0,0,"[100, 120]",14.29,0,0,1,0,0,0,1,0,0,0
opsd_bovin,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",40.0,2,1,8,2,6,5,6,1,4,4,"[[4], [5], [8], [9, 20]]",13.33,0,1,5,2,1,2,5,1,1,1,"[39, 69]",9.68,0,0,1,0,3,1,1,0,3,1,"[80, 95]",37.5,1,0,1,0,1,0,0,0,0,0,"[100, 120]",42.86,1,0,1,0,1,2,0,0,0,2
opsd_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",40.0,2,1,8,2,6,5,6,1,4,4,"[[4], [5], [8], [9, 20]]",13.33,0,1,5,2,1,2,5,1,1,1,"[39, 69]",9.68,0,0,1,0,3,1,1,0,3,1,"[80, 95]",37.5,1,0,1,0,1,0,0,0,0,0,"[100, 120]",42.86,1,0,1,0,1,2,0,0,0,2
